order_item_id,order_id,product_id,quantity,unit_price
1,1,90,4,3737
2,1,58,3,3809
3,1,52,3,4234
4,2,66,3,4385
5,3,10,4,1267
6,3,76,4,4880
7,4,77,3,1952
8,4,72,4,1028
9,5,48,1,2314
10,5,16,2,4829
11,5,58,5,3809
12,6,67,3,604
13,7,69,5,1631
14,8,5,3,3240
15,9,21,1,1053
16,9,53,1,3622
17,9,15,1,3394
18,10,10,1,1267
19,10,68,5,1314
20,10,58,5,3809
21,11,49,5,4286
22,11,24,2,3401
23,12,73,5,233
24,13,79,5,3033
25,13,54,5,4368
26,14,22,2,2639
27,14,92,3,2803
28,15,100,2,4568
29,15,89,5,1496
30,16,65,3,2096
31,16,7,2,3038
32,16,42,4,1255
33,17,79,5,3033
34,17,26,1,1291
35,17,43,4,1927
36,18,15,5,3394
37,18,95,1,2883
38,19,29,2,1317
39,19,43,5,1927
40,19,16,2,4829
41,20,27,2,3093
42,20,94,4,1453
43,20,72,2,1028
44,21,35,5,1956
45,22,71,2,923
46,22,87,4,3586
47,22,49,3,4286
48,23,53,2,3622
49,24,20,2,4946
50,24,20,1,4946
51,25,39,3,610
52,25,67,2,604
53,26,23,2,3424
54,27,9,3,3322
55,27,41,4,1424
56,27,46,4,1910
57,28,36,1,1465
58,28,29,1,1317
59,29,21,3,1053
60,29,54,1,4368
61,29,93,5,570
62,30,46,3,1910
63,30,2,3,2882
64,30,38,5,1780
65,31,58,5,3809
66,31,42,2,1255
67,31,33,4,3819
68,32,11,4,2716
69,32,86,3,3476
70,32,16,5,4829
71,33,60,1,555
72,33,23,5,3424
73,33,14,3,3082
74,34,26,2,1291
75,34,27,5,3093
76,35,82,3,2911
77,35,7,3,3038
78,36,82,4,2911
79,36,44,5,3241
80,37,47,5,3023
81,38,8,4,3736
82,39,30,2,1640
83,40,1,5,817
84,41,17,3,1256
85,41,29,2,1317
86,41,47,2,3023
87,42,90,2,3737
88,43,83,5,1350
89,43,33,1,3819
90,44,95,2,2883
91,44,98,4,3119
92,44,14,3,3082
93,45,75,1,3727
94,45,98,4,3119
95,45,89,4,1496
96,46,61,2,994
97,46,68,5,1314
98,47,14,4,3082
99,48,10,2,1267
100,49,25,2,1642
101,50,66,5,4385
102,50,92,2,2803
103,50,64,2,3172
104,51,3,5,3677
105,51,40,1,4412
106,51,9,5,3322
107,52,3,1,3677
108,53,25,3,1642
109,54,66,5,4385
110,55,55,5,4848
111,55,52,5,4234
112,56,93,1,570
113,56,44,3,3241
114,56,18,1,832
115,57,80,4,3384
116,58,72,4,1028
117,58,20,4,4946
118,58,95,2,2883
119,59,57,4,1343
120,60,18,2,832
121,60,25,5,1642
122,60,99,2,767
123,61,90,5,3737
124,61,75,3,3727
125,61,43,2,1927
126,62,97,3,457
127,62,7,4,3038
128,62,4,5,243
129,63,74,1,2205
130,63,79,2,3033
131,63,22,4,2639
132,64,55,2,4848
133,64,51,1,3702
134,65,53,2,3622
135,66,4,5,243
136,66,3,4,3677
137,66,59,2,1181
138,67,13,1,2256
139,67,93,2,570
140,67,35,4,1956
141,68,20,5,4946
142,68,46,1,1910
143,68,93,5,570
144,69,54,1,4368
145,69,18,1,832
146,69,24,4,3401
147,70,50,2,813
148,70,83,5,1350
149,70,89,5,1496
150,71,81,4,4398
151,72,32,4,2486
152,72,18,3,832
153,72,30,1,1640
154,73,1,5,817
155,73,20,4,4946
156,73,79,2,3033
157,74,46,4,1910
158,74,59,3,1181
159,75,93,5,570
160,75,87,1,3586
161,75,9,4,3322
162,76,28,3,2781
163,77,86,2,3476
164,77,2,1,2882
165,78,41,5,1424
166,78,94,5,1453
167,79,63,3,2058
168,79,33,2,3819
169,80,97,1,457
170,81,87,5,3586
171,81,85,1,1356
172,81,57,5,1343
173,82,17,4,1256
174,83,4,2,243
175,83,74,3,2205
176,83,73,4,233
177,84,78,1,4275
178,84,9,2,3322
179,85,70,5,3540
180,85,54,3,4368
181,86,24,5,3401
182,86,59,4,1181
183,87,8,3,3736
184,87,73,5,233
185,87,80,3,3384
186,88,68,4,1314
187,88,77,2,1952
188,88,61,4,994
189,89,33,5,3819
190,89,90,4,3737
191,89,34,2,1488
192,90,81,5,4398
193,90,37,5,599
194,91,67,3,604
195,91,21,3,1053
196,92,94,3,1453
197,92,78,4,4275
198,92,37,2,599
199,93,55,1,4848
200,93,49,2,4286
201,93,51,4,3702
202,94,41,2,1424
203,94,11,1,2716
204,94,4,2,243
205,95,49,4,4286
206,95,83,3,1350
207,95,50,5,813
208,96,64,1,3172
209,96,100,2,4568
210,96,32,4,2486
211,97,3,1,3677
212,97,94,1,1453
213,97,94,2,1453
214,98,49,5,4286
215,98,73,4,233
216,99,81,1,4398
217,100,98,2,3119
218,100,10,3,1267
219,101,22,5,2639
220,102,84,4,3612
221,103,61,5,994
222,103,8,5,3736
223,104,6,5,4591
224,104,48,1,2314
225,105,56,4,4949
226,106,37,1,599
227,106,59,2,1181
228,107,51,5,3702
229,107,52,3,4234
230,107,94,2,1453
231,108,72,5,1028
232,109,43,5,1927
233,109,3,2,3677
234,109,87,5,3586
235,110,51,1,3702
236,111,75,2,3727
237,111,71,1,923
